University Name,Location,Cost of Living,Tuition Fee,Country Rank
University of Warwick,"Coventry, United Kingdom","£ 15,888","£ 26,470",#10
Queen Mary University of London,"London, United Kingdom","£ 22,932","£ 9,650",#15
Cardiff University,"Cardiff, United Kingdom","£ 12,546","£ 17,450",#18
London School of Economics,"London, United Kingdom","£ 22,932","£ 20,136",#20
University of Leicester,"Leicester, United Kingdom","£ 11,342","£ 15,500",#22
Brunel University London,"London, United Kingdom","£ 22,932","£ 8,700",#39
"City, University of London","London, United Kingdom","£ 22,932","£ 6,900",#43
University of Portsmouth,"Portsmouth, United Kingdom","£ 14,316","£ 7,900",#46
Northumbria University,"Newcastle, United Kingdom","£ 12,230","£ 12,950",#47
Nottingham Trent University,"Nottingham, United Kingdom","£ 14,868","£ 11,950",#51
Ulster University,"Belfast, United Kingdom","£ 14,172","£ 14,910",#55
Coventry University,"Coventry, United Kingdom","£ 15,888","£ 5,650",#56
Sheffield Hallam University,"Sheffield, United Kingdom","£ 8,837","£ 8,745",#61
University of Hertfordshire,"Hatfield, United Kingdom","£ 21,648","£ 11,620",#63
De Montfort University,"Leicester, United Kingdom","£ 11,342","£ 11,750",#64
Oxford Brookes University,"Oxford, United Kingdom","£ 14,911","£ 14,600",#65
Bournemouth University,"Bournemouth, United Kingdom","£ 18,389","£ 5,505",#68
Middlesex University,"London, United Kingdom","£ 22,932","£ 14,000",#70
University of Central Lancashire,"Preston, United Kingdom","£ 11,676","£ 7,600",#73
University of Greenwich,"London, United Kingdom","£ 22,932","£ 7,550",#75
Kingston University,"Kingston-upon-Thames, United Kingdom","£ 21,780","£ 11,250",#77
Edinburgh Napier University,"Edinburgh, United Kingdom","£ 20,868","£ 9,260",#78
Leeds Beckett University,"Leeds, United Kingdom","£ 14,964","£ 10,995",#83
Anglia Ruskin University - Cambridge,"Cambridge, United Kingdom","£ 19,896","£ 13,100",#85
Anglia Ruskin University - London,"London, United Kingdom","£ 22,932","£ 13,900",#85
Birmingham City University,"Birmingham, United Kingdom","£ 16,668","£ 9,500",#91
University of East London,"London, United Kingdom","£ 22,932","£ 12,450",#92
Teesside University,"Middlesbrough, United Kingdom","£ 11,544","£ 7,500",#95
Cardiff Metropolitan University,"Cardiff, United Kingdom","£ 12,546","£ 10,250",#106
University of Northampton,"Northampton, United Kingdom","£ 12,708","£ 7,650",#110
University of West London,"London, United Kingdom","£ 22,932","£ 13,250",#111
Business Professional People University,"London, United Kingdom","£ 22,932","£ 7,850",#158
Warwick Manufacturing Group,"Southampton, United Kingdom","£ 16,068","£ 28,410",#10
University of Reading,"Reading, United Kingdom","£ 16,068","£ 13,733",#31
University of Liverpool,"Liverpool, United Kingdom","£ 15,432","£ 18,450",#17
"Royal Holloway, University of London","Egham, United Kingdom","£ 23,412","£ 16,700",#87
Manchester School of Architecture,"Birmingham, United Kingdom","£ 16,668","£ 3,500",#6
University of Sheffield,"Sheffield, United Kingdom","£ 8,837","£ 3,100",#12
University of Nottingham,"Nottingham, United Kingdom","£ 14,868","£ 14,892",#9
University of Strathclyde,"Glasgow, United Kingdom","£ 19,476","£ 8,350",#35
University of Lincoln,"Lincoln, United Kingdom","£ 13,392","£ 10,680",N/A
University for the Creative Arts,"Farnham, United Kingdom","£ 14,580","£ 11,700",#145
Marine Learning Alliance,"Plymouth, United Kingdom","£ 17,220","£ 5,750",#413
Royal Veterinary College,"London, United Kingdom","£ 22,932","£ 5,250",#88
Regent's University London,"London, United Kingdom","£ 22,932","£ 12,000",#676
